,string_tension,acc_per_fold_train,acc_per_fold_test,loss_per_fold_train,loss_per_fold_test
0,1.0000000000000004e-06,"(100.0, 0.0)","(100.0, 0.0)","(2.2057784190110396e-05, 1.087635965757814e-05)","(2.902940359490458e-05, 2.0604180654076037e-05)"
1,5.994842503189417e-07,"(100.0, 0.0)","(100.0, 0.0)","(8.482249104417861e-05, 2.8044552361397457e-05)","(0.00010621911715134048, 6.509231195861834e-05)"
2,3.5938136638046265e-07,"(100.0, 0.0)","(100.0, 0.0)","(0.001031882419192698, 0.0015892092703964416)","(0.0013151079547242261, 0.0020638123516789923)"
3,2.1544346900318843e-07,"(100.0, 0.0)","(100.0, 0.0)","(0.009177913458552211, 0.01697241722907106)","(0.010139521904056892, 0.018211318057599242)"
4,1.2915496650148827e-07,"(100.0, 0.0)","(100.0, 0.0)","(0.0015404594596475363, 0.0007069413515785798)","(0.0019799165776930748, 0.0014980112397067313)"
5,7.742636826811268e-08,"(100.0, 0.0)","(100.0, 0.0)","(0.01448391645681113, 0.022889420641061198)","(0.01502354685217142, 0.022940282217905353)"
6,4.64158883361278e-08,"(81.93750023841858, 20.983996698558492)","(82.62500047683716, 20.273134900372472)","(0.926989583298564, 1.1163401321731892)","(0.9490243501961231, 1.1302233662231094)"
7,2.7825594022071167e-08,"(69.12500023841858, 23.436583645390954)","(67.87500023841858, 22.04257277910969)","(0.5230474054813385, 0.19910808668018723)","(0.5323331147432327, 0.20193449526474685)"
8,1.668100537200055e-08,"(60.40624976158142, 8.187619058274853)","(50.50000071525574, 2.7214429661380803)","(0.6423475980758667, 0.027011564616511066)","(0.6974640965461731, 0.019165456113717193)"
9,9.999999999999982e-09,"(80.71874976158142, 14.177514947017531)","(50.50000011920929, 2.10653723815517)","(0.48170800805091857, 0.1071653186275122)","(0.743313479423523, 0.04290335087816773)"
